Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-20T15:24:17.790Z,,FALSE,XI3249,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152417514_XI3249.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152417514_XI3249.jpeg
2021-09-20T15:24:35.079Z,,FALSE,BTWU12,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152434111_BTWU12.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152434111_BTWU12.jpeg
2021-09-20T15:26:14.119Z,,FALSE,GTZA12,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152613437_GTZA12.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152613437_GTZA12.jpeg
2021-09-20T15:26:37.230Z,Common LPR,FALSE,LUDEERS,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152636487_LUDEERS.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152636487_LUDEERS.jpeg
2021-09-20T15:26:37.276Z,Common LPR,FALSE,LUDECRS,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152636780_LUDECRS.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152636780_LUDECRS.jpeg
2021-09-20T15:26:37.696Z,Common LPR,FALSE,LUDCRS,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152637591_LUDCRS.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152637591_LUDCRS.jpeg
2021-09-20T15:29:07.130Z,Master LPR,FALSE,GLYC87,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152907037_GLYC87.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152907037_GLYC87.jpeg
2021-09-20T15:29:07.991Z,Common LPR,FALSE,GLYCB7,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152908027_GLYCB7.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_152908027_GLYCB7.jpeg
2021-09-20T15:31:39.860Z,,FALSE,IHCX19,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153139914_IHCX19.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153139914_IHCX19.jpeg
2021-09-20T15:31:50.757Z,,FALSE,KTWM80,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153150343_KTWM80.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153150343_KTWM80.jpeg
2021-09-20T15:34:54.265Z,,FALSE,DAXH72,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153454188_DAXH72.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153454188_DAXH72.jpeg
2021-09-20T15:35:59.945Z,,FALSE,HFDH85,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153559737_HFDH85.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153559737_HFDH85.jpeg
2021-09-20T15:37:01.714Z,,FALSE,KXLR67,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153701710_KXLR67.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153701710_KXLR67.jpeg
2021-09-20T15:38:18.991Z,,FALSE,LKGM13,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153818861_LKGM13.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153818861_LKGM13.jpeg
